t;tr;ch1;ch2;ch3;ch4;sum
445;0;8;16;9;13;46
446;0;5;10;8;10;33
447;0;8;13;10;13;44
448;0;11;11;10;12;44
449;0;10;12;10;14;46
450;0;10;11;13;18;52
451;0;10;13;14;9;46
452;0;8;12;12;11;43
453;0;8;15;8;11;42
454;0;8;15;12;6;41
455;0;8;14;8;9;39
456;0;12;9;14;12;47
457;0;12;14;13;8;47
458;0;7;12;14;14;47
459;0;10;16;6;14;46
460;0;13;15;14;11;53
461;0;9;15;12;16;52
462;0;14;15;8;10;47
463;0;4;9;13;12;38
464;0;12;17;12;14;55
465;0;9;13;9;8;39
466;0;6;8;13;17;44
467;0;10;15;15;16;56
468;0;6;12;15;13;46
469;0;9;15;18;9;51
470;0;12;13;16;13;54
471;0;11;14;10;9;44
472;0;10;17;14;16;57
473;0;8;14;8;14;44
474;0;9;12;17;11;49
475;0;8;14;13;12;47
476;0;11;19;12;18;60
477;0;7;7;13;11;38
478;0;10;7;18;11;46
479;0;15;5;11;12;43
480;0;8;11;15;10;44
481;0;7;12;12;7;38
482;0;10;12;16;9;47
483;0;11;13;13;10;47
484;0;7;14;12;18;51
485;0;10;14;10;10;44
486;0;12;18;16;14;60
487;0;5;15;7;12;39
488;0;10;12;15;7;44
489;0;12;18;8;14;52
490;0;7;9;11;11;38
491;0;15;11;14;12;52
492;0;8;13;11;10;42
493;0;10;17;12;6;45
494;0;9;7;6;18;40
495;0;10;5;16;7;38
496;0;5;7;9;8;29
497;0;11;3;10;11;35
498;0;15;12;11;15;53
499;0;8;7;14;12;41
500;0;11;15;12;11;49
501;0;17;9;10;8;44
502;0;12;12;13;15;52
503;0;13;13;8;13;47
504;0;11;16;17;12;56
505;0;13;14;10;10;47
506;0;16;12;9;11;48
507;0;14;14;7;12;47
508;0;9;11;12;11;43
509;0;16;14;15;13;58
510;0;17;10;11;11;49
511;0;9;17;10;6;42
512;0;11;20;18;10;59
513;0;7;12;12;8;39
514;0;6;14;14;9;43
515;0;10;10;14;7;41
516;0;7;8;27;13;55
517;0;13;10;10;12;45
518;0;11;14;16;12;53
519;0;8;11;11;13;43
520;0;10;15;11;14;50
521;0;5;11;15;14;45
522;0;7;13;15;21;56
523;0;12;12;12;12;48
524;0;13;11;6;14;44
525;0;10;9;11;5;35
526;0;17;11;15;10;53
527;0;9;12;18;10;49
528;0;4;15;12;10;41
529;0;7;15;11;8;41
530;0;8;16;7;9;40
531;0;18;16;14;7;55
532;0;11;14;6;10;41
533;0;8;12;9;4;33
534;0;13;6;10;13;42
535;0;14;11;12;11;48
536;0;15;9;10;11;45
537;0;11;15;17;14;57
538;0;11;11;10;5;37
539;0;7;11;16;13;47
540;0;5;10;12;8;35
541;0;9;15;5;15;44
542;0;6;8;13;13;40
543;0;7;14;13;13;47
544;0;5;10;13;14;42
545;0;10;15;20;9;54
546;0;3;18;17;11;49
547;0;8;11;14;10;43
548;0;9;10;15;11;45
549;0;9;16;15;10;50
550;0;8;7;12;8;35
551;0;12;14;13;12;51
552;0;12;11;11;14;48
553;0;8;14;15;13;50
554;0;9;12;16;13;50
555;0;6;15;12;12;45
556;0;9;20;13;7;49
557;0;14;11;18;10;53
558;0;7;12;10;9;38
559;0;11;21;14;11;57
560;0;9;8;4;9;30
561;0;6;13;13;7;39
562;0;13;12;13;7;45
563;0;10;9;9;16;44
564;0;8;16;8;15;47
565;0;8;14;13;11;46
566;0;14;16;13;10;53
567;0;12;9;10;7;38
568;0;6;22;8;6;42
569;0;12;8;17;21;58
570;0;11;4;7;13;35
571;0;11;7;14;15;47
572;0;6;14;10;8;38
573;0;9;7;17;15;48
574;0;7;8;9;14;38
575;0;13;11;17;5;46
576;0;10;11;14;11;46
577;0;15;11;15;15;56
578;0;10;12;14;12;48
579;0;11;10;9;16;46
580;0;15;12;15;8;50
581;0;19;19;12;14;64
582;0;9;15;8;11;43
583;0;10;15;9;8;42
584;0;17;19;12;18;66
585;0;6;16;13;17;52
586;0;11;10;8;13;42
587;0;16;10;14;8;48
588;0;10;14;9;13;46
589;0;16;18;13;7;54
590;0;14;10;14;13;51
591;0;14;9;10;12;45
592;0;9;12;15;10;46
593;0;8;17;12;16;53
594;0;15;12;10;15;52
595;0;9;10;10;16;45
596;0;10;11;11;14;46
597;0;11;11;11;12;45
598;0;15;14;10;10;49
599;0;10;19;14;13;56
600;0;6;12;10;6;34
601;0;11;12;7;14;44
602;0;7;8;14;8;37
603;0;7;20;7;8;42
604;0;13;7;15;13;48
605;0;9;14;10;10;43
606;0;15;7;13;12;47
607;0;7;10;15;13;45
608;0;9;9;8;7;33
609;0;15;13;7;14;49
610;0;8;14;7;11;40
611;0;11;12;19;9;51
612;0;11;11;15;6;43
613;0;10;13;18;11;52
614;0;11;10;8;5;34
615;0;10;11;8;13;42
616;0;7;6;10;6;29
617;0;10;11;11;9;41
618;0;12;12;14;10;48
619;0;14;18;16;17;65
620;0;8;11;8;12;39
621;0;15;14;12;6;47
622;0;7;11;14;12;44
623;1;13;13;16;18;60
624;1;9;21;18;16;64
625;1;15;9;16;19;59
626;1;10;17;19;14;60
627;1;16;13;11;13;53
628;1;12;11;23;8;54
629;1;3;10;17;16;46
630;1;21;15;18;15;69
631;1;21;23;15;17;76
632;1;15;11;13;12;51
633;1;8;12;12;15;47
634;1;13;17;19;11;60
635;1;9;18;8;16;51
636;1;16;13;13;12;54
637;1;18;10;11;16;55
638;1;13;14;8;11;46
639;1;9;13;24;10;56
640;1;4;12;17;14;47
641;1;11;17;11;10;49
642;1;11;15;8;13;47
643;1;16;17;15;12;60
644;1;14;13;18;11;56
645;1;3;12;12;10;37
646;1;11;12;5;13;41
647;1;18;8;12;11;49
648;1;10;18;19;12;59
649;1;13;13;13;10;49
650;1;9;18;15;14;56
651;1;14;18;19;11;62
